Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,total
nl,,,,0,0,0,0,33,266,51,43,50,0,0,0,0,0,0,0,5,561,1656,2803,12277,238,172,151917,96676,3510,7839,23148,56274,225968,583487
,collectie,,,0,0,0,0,17,49,1,9,6,0,0,0,0,0,0,0,3,355,1421,1240,9714,132,119,151332,91095,1714,3683,10258,27903,225085,524136
,,object,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4033,306276,310310
en,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,386,447,1828,12528,423,139,1582,33838,3124,4184,6147,18170,106527,189332
,collection,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,276,823,8597,106,73,1134,26380,2101,2652,1298,5207,105971,154830
,rijksstudio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,213,1983,5793,312,43,890,12613,2218,5085,17352,40574,0,87079
,,,verzamelingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1088,2515,34,0,472,5207,1335,3418,10337,21664,0,46191
,,,collections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,689,3168,89,11,359,6587,655,1173,4596,12346,0,29754
,,node,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22735,22764
,,,creaties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,6,2,1,4,69,61,227,1783,4756,0,7009
,,,route,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,215,11,77,585,1660,0,2550
,stories,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,158,153,91,406,292,1140
,,,creations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,154,37,1,5,364,52,43,34,103,0,901
,,set,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,41,725,774
,,verzameling,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,682,773
,,,story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,92,61,48,263,222,706
collectie,,,,0,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,211,0,0,0,0,0,0,22,107,33,55,62,159,0,660
,zien-en-doen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76,89,56,57,255,542
,,collections,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,142,16,6,7,22,62,57,37,59,0,452
,my,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,142,16,6,7,22,62,57,37,59,0,452
,whats-on,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,7,21,7,2,5,12,39,37,50,47,165,412
,pers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,18,15,10,7,15,26,60,52,20,34,113,386
